Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
01/02/2019,01/02/2019,01/02/2019,,0,,http://reference.data.gov.uk/id/day/01/02/2019
01/03/2018,01/03/2018,01/03/2018,,1,,http://reference.data.gov.uk/id/day/01/03/2018
01/04/2021,01/04/2021,01/04/2021,,2,,http://reference.data.gov.uk/id/day/01/04/2021
01/04/2022,01/04/2022,01/04/2022,,3,,http://reference.data.gov.uk/id/day/01/04/2022
01/05/2020,01/05/2020,01/05/2020,,4,,http://reference.data.gov.uk/id/day/01/05/2020
01/07/2022,01/07/2022,01/07/2022,,5,,http://reference.data.gov.uk/id/day/01/07/2022
01/08/2019,01/08/2019,01/08/2019,,6,,http://reference.data.gov.uk/id/day/01/08/2019
01/10/2021,01/10/2021,01/10/2021,,7,,http://reference.data.gov.uk/id/day/01/10/2021
01/11/2018,01/11/2018,01/11/2018,,8,,http://reference.data.gov.uk/id/day/01/11/2018
02/05/2019,02/05/2019,02/05/2019,,9,,http://reference.data.gov.uk/id/day/02/05/2019
02/07/2021,02/07/2021,02/07/2021,,10,,http://reference.data.gov.uk/id/day/02/07/2021
02/08/2018,02/08/2018,02/08/2018,,11,,http://reference.data.gov.uk/id/day/02/08/2018
02/09/2022,02/09/2022,02/09/2022,,12,,http://reference.data.gov.uk/id/day/02/09/2022
02/10/2020,02/10/2020,02/10/2020,,13,,http://reference.data.gov.uk/id/day/02/10/2020
02/12/2022,02/12/2022,02/12/2022,,14,,http://reference.data.gov.uk/id/day/02/12/2022
03/01/2020,03/01/2020,03/01/2020,,15,,http://reference.data.gov.uk/id/day/03/01/2020
03/04/2020,03/04/2020,03/04/2020,,16,,http://reference.data.gov.uk/id/day/03/04/2020
03/05/2018,03/05/2018,03/05/2018,,17,,http://reference.data.gov.uk/id/day/03/05/2018
03/06/2022,03/06/2022,03/06/2022,,18,,http://reference.data.gov.uk/id/day/03/06/2022
03/07/2020,03/07/2020,03/07/2020,,19,,http://reference.data.gov.uk/id/day/03/07/2020
03/09/2021,03/09/2021,03/09/2021,,20,,http://reference.data.gov.uk/id/day/03/09/2021
03/10/2019,03/10/2019,03/10/2019,,21,,http://reference.data.gov.uk/id/day/03/10/2019
03/12/2021,03/12/2021,03/12/2021,,22,,http://reference.data.gov.uk/id/day/03/12/2021
04/01/2019,04/01/2019,04/01/2019,,23,,http://reference.data.gov.uk/id/day/04/01/2019
04/02/2022,04/02/2022,04/02/2022,,24,,http://reference.data.gov.uk/id/day/04/02/2022
04/03/2022,04/03/2022,04/03/2022,,25,,http://reference.data.gov.uk/id/day/04/03/2022
04/04/2019,04/04/2019,04/04/2019,,26,,http://reference.data.gov.uk/id/day/04/04/2019
04/06/2021,04/06/2021,04/06/2021,,27,,http://reference.data.gov.uk/id/day/04/06/2021
04/07/2019,04/07/2019,04/07/2019,,28,,http://reference.data.gov.uk/id/day/04/07/2019
04/09/2020,04/09/2020,04/09/2020,,29,,http://reference.data.gov.uk/id/day/04/09/2020
04/12/2020,04/12/2020,04/12/2020,,30,,http://reference.data.gov.uk/id/day/04/12/2020
05/02/2021,05/02/2021,05/02/2021,,31,,http://reference.data.gov.uk/id/day/05/02/2021
05/03/2021,05/03/2021,05/03/2021,,32,,http://reference.data.gov.uk/id/day/05/03/2021
05/04/2018,05/04/2018,05/04/2018,,33,,http://reference.data.gov.uk/id/day/05/04/2018
05/06/2020,05/06/2020,05/06/2020,,34,,http://reference.data.gov.uk/id/day/05/06/2020
05/08/2022,05/08/2022,05/08/2022,,35,,http://reference.data.gov.uk/id/day/05/08/2022
05/09/2019,05/09/2019,05/09/2019,,36,,http://reference.data.gov.uk/id/day/05/09/2019
05/10/2018,05/10/2018,05/10/2018,,37,,http://reference.data.gov.uk/id/day/05/10/2018
05/11/2021,05/11/2021,05/11/2021,,38,,http://reference.data.gov.uk/id/day/05/11/2021
05/12/2019,05/12/2019,05/12/2019,,39,,http://reference.data.gov.uk/id/day/05/12/2019
06/01/2023,06/01/2023,06/01/2023,,40,,http://reference.data.gov.uk/id/day/06/01/2023
06/03/2020,06/03/2020,06/03/2020,,41,,http://reference.data.gov.uk/id/day/06/03/2020
06/05/2022,06/05/2022,06/05/2022,,42,,http://reference.data.gov.uk/id/day/06/05/2022
06/06/2019,06/06/2019,06/06/2019,,43,,http://reference.data.gov.uk/id/day/06/06/2019
06/07/2018,06/07/2018,06/07/2018,,44,,http://reference.data.gov.uk/id/day/06/07/2018
06/08/2021,06/08/2021,06/08/2021,,45,,http://reference.data.gov.uk/id/day/06/08/2021
06/09/2018,06/09/2018,06/09/2018,,46,,http://reference.data.gov.uk/id/day/06/09/2018
06/11/2020,06/11/2020,06/11/2020,,47,,http://reference.data.gov.uk/id/day/06/11/2020
07/01/2022,07/01/2022,07/01/2022,,48,,http://reference.data.gov.uk/id/day/07/01/2022
07/02/2018,07/02/2018,07/02/2018,,49,,http://reference.data.gov.uk/id/day/07/02/2018
07/02/2019,07/02/2019,07/02/2019,,50,,http://reference.data.gov.uk/id/day/07/02/2019
07/02/2020,07/02/2020,07/02/2020,,51,,http://reference.data.gov.uk/id/day/07/02/2020
07/03/2019,07/03/2019,07/03/2019,,52,,http://reference.data.gov.uk/id/day/07/03/2019
07/05/2020,07/05/2020,07/05/2020,,53,,http://reference.data.gov.uk/id/day/07/05/2020
07/05/2021,07/05/2021,07/05/2021,,54,,http://reference.data.gov.uk/id/day/07/05/2021
07/08/2020,07/08/2020,07/08/2020,,55,,http://reference.data.gov.uk/id/day/07/08/2020
07/10/2022,07/10/2022,07/10/2022,,56,,http://reference.data.gov.uk/id/day/07/10/2022
07/11/2019,07/11/2019,07/11/2019,,57,,http://reference.data.gov.uk/id/day/07/11/2019
07/11/2022,07/11/2022,07/11/2022,,58,,http://reference.data.gov.uk/id/day/07/11/2022
07/12/2018,07/12/2018,07/12/2018,,59,,http://reference.data.gov.uk/id/day/07/12/2018
08/01/2021,08/01/2021,08/01/2021,,60,,http://reference.data.gov.uk/id/day/08/01/2021
08/03/2018,08/03/2018,08/03/2018,,61,,http://reference.data.gov.uk/id/day/08/03/2018
08/04/2022,08/04/2022,08/04/2022,,62,,http://reference.data.gov.uk/id/day/08/04/2022
08/06/2018,08/06/2018,08/06/2018,,63,,http://reference.data.gov.uk/id/day/08/06/2018
08/07/2022,08/07/2022,08/07/2022,,64,,http://reference.data.gov.uk/id/day/08/07/2022
08/08/2019,08/08/2019,08/08/2019,,65,,http://reference.data.gov.uk/id/day/08/08/2019
08/10/2021,08/10/2021,08/10/2021,,66,,http://reference.data.gov.uk/id/day/08/10/2021
09/04/2020,09/04/2020,09/04/2020,,67,,http://reference.data.gov.uk/id/day/09/04/2020
09/04/2021,09/04/2021,09/04/2021,,68,,http://reference.data.gov.uk/id/day/09/04/2021
09/05/2019,09/05/2019,09/05/2019,,69,,http://reference.data.gov.uk/id/day/09/05/2019
09/07/2021,09/07/2021,09/07/2021,,70,,http://reference.data.gov.uk/id/day/09/07/2021
09/08/2018,09/08/2018,09/08/2018,,71,,http://reference.data.gov.uk/id/day/09/08/2018
09/09/2022,09/09/2022,09/09/2022,,72,,http://reference.data.gov.uk/id/day/09/09/2022
09/10/2020,09/10/2020,09/10/2020,,73,,http://reference.data.gov.uk/id/day/09/10/2020
09/11/2018,09/11/2018,09/11/2018,,74,,http://reference.data.gov.uk/id/day/09/11/2018
09/12/2022,09/12/2022,09/12/2022,,75,,http://reference.data.gov.uk/id/day/09/12/2022
10/01/2020,10/01/2020,10/01/2020,,76,,http://reference.data.gov.uk/id/day/10/01/2020
10/05/2018,10/05/2018,10/05/2018,,77,,http://reference.data.gov.uk/id/day/10/05/2018
10/06/2022,10/06/2022,10/06/2022,,78,,http://reference.data.gov.uk/id/day/10/06/2022
10/07/2020,10/07/2020,10/07/2020,,79,,http://reference.data.gov.uk/id/day/10/07/2020
10/09/2021,10/09/2021,10/09/2021,,80,,http://reference.data.gov.uk/id/day/10/09/2021
10/10/2019,10/10/2019,10/10/2019,,81,,http://reference.data.gov.uk/id/day/10/10/2019
10/12/2021,10/12/2021,10/12/2021,,82,,http://reference.data.gov.uk/id/day/10/12/2021
11/01/2019,11/01/2019,11/01/2019,,83,,http://reference.data.gov.uk/id/day/11/01/2019
11/02/2022,11/02/2022,11/02/2022,,84,,http://reference.data.gov.uk/id/day/11/02/2022
11/04/2019,11/04/2019,11/04/2019,,85,,http://reference.data.gov.uk/id/day/11/04/2019
11/06/2021,11/06/2021,11/06/2021,,86,,http://reference.data.gov.uk/id/day/11/06/2021
11/07/2019,11/07/2019,11/07/2019,,87,,http://reference.data.gov.uk/id/day/11/07/2019
11/09/2020,11/09/2020,11/09/2020,,88,,http://reference.data.gov.uk/id/day/11/09/2020
11/10/2018,11/10/2018,11/10/2018,,89,,http://reference.data.gov.uk/id/day/11/10/2018
11/11/2022,11/11/2022,11/11/2022,,90,,http://reference.data.gov.uk/id/day/11/11/2022
11/12/2020,11/12/2020,11/12/2020,,91,,http://reference.data.gov.uk/id/day/11/12/2020
12/02/2021,12/02/2021,12/02/2021,,92,,http://reference.data.gov.uk/id/day/12/02/2021
12/03/2020,12/03/2020,12/03/2020,,93,,http://reference.data.gov.uk/id/day/12/03/2020
12/03/2021,12/03/2021,12/03/2021,,94,,http://reference.data.gov.uk/id/day/12/03/2021
12/04/2018,12/04/2018,12/04/2018,,95,,http://reference.data.gov.uk/id/day/12/04/2018
12/06/2020,12/06/2020,12/06/2020,,96,,http://reference.data.gov.uk/id/day/12/06/2020
12/07/2018,12/07/2018,12/07/2018,,97,,http://reference.data.gov.uk/id/day/12/07/2018
12/08/2022,12/08/2022,12/08/2022,,98,,http://reference.data.gov.uk/id/day/12/08/2022
