Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
a-t,Total (A-T),A-T,,0,All sectors
a,"Agriculture, forestry and fishing (A)",A,a-t,0,"Division 01: Crop and animal production, hunting and related service activities 
 Division 02: Forestry and logging 
Division 03: Fishing and aquaculture"
b-e,Production (B-E),B-E,a-t,1,Production
f,Construction (F),F,a-t,2,Construction
g-t,Services (G-T),G-T,a-t,3,Services
b,Mining and quarrying (B),B,b-e,0,"Division 05: Mining of coal and lignite 
Division 06: Extraction of crude petroleum and natural gas 
 Division 07: Mining of metal ores 
 Division 08: Other mining and quarrying 
Division 09: Mining support service activities"
c,Manufacturing (C),C,b-e,1,"Division 10: Manufacture of food products 
Division 11: Manufacture of beverages 
Division 12: Manufacture of tobacco products 
Division 13: Manufacture of textiles 
Division 14: Manufacture of wearing apparel 
Division 15: Manufacture of leather and related products 
Division 16: Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials 
Division 17: Manufacture of paper and paper products 
Division 18: Printing and reproduction of recorded media 
Division 19: Manufacture of coke and refined petroleum products 
Division 20: Manufacture of chemicals and chemical products 
Division 21: Manufacture of basic pharmaceutical products and pharmaceutical preparations 
Division 22: Manufacture of rubber and plastic products 
Division 23: Manufacture of other non-metallic mineral products 
Division 24: Manufacture of basic metals 
Division 25: Manufacture of fabricated metal products, except machinery and equipment 
Division 26: Manufacture of computer, electronic and optical products 
Division 27: Manufacture of electrical equipment 
Division 28: Manufacture of machinery and equipment n.e.c. 
Division 29: Manufacture of motor vehicles, trailers and semi-trailers 
Division 30: Manufacture of other transport equipment 
Division 31: Manufacture of furniture 
Division 32: Other manufacturing 
Division 33: Repair and installation of machinery and equipment"
d,"Electricity, gas, steam and air (D)",D,b-e,2,"Division 35: Electricity, gas, steam and air conditioning supply"
e,"Water supply, sewerage, etc (E)",E,b-e,3,"Division 36: Water collection, treatment and supply 
Division 37: Sewerage 
Division 38: Waste collection, treatment and disposal activities; materials recovery 
Division 39: Remediation activities and other waste management services"
g,Wholesale and retail; repair of motor vehicles (G),G,g-t,0,"Division 45: Wholesale and retail trade and repair of motor vehicles and motorcycles 
Division 46: Wholesale trade, except of motor vehicles and motorcycles 
Division 47: Retail trade, except of motor vehicles and motorcycles"
h,Transport and storage (H),H,g-t,1,"Division 49: Land transport and transport via pipelines 
Division 50: Water transport 
Division 51: Air transport 
Division 52: Warehousing and support activities for transportation 
Division 53: Postal and courier activities"
i,Accommodation and food services (I),I,g-t,2,"Division 55: Accommodation
Division 56: Food and beverage service activities"
j,Information and communication (J),J,g-t,3,"Division 58: Publishing activities 
Division 59: Motion picture, video and television programme production, sound recording and music publishing activities 
Division 60: Programming and broadcasting activities 
Division 61: Telecommunications 
Division 62: Computer programming, consultancy and related activities 
Division 63: Information service activities"
k,Financial and insurance activities (K),K,g-t,4,"Division 64: Financial service activities, except insurance and pension funding 
Division 65: Insurance, reinsurance and pension funding, except compulsory social security 
Division 66: Activities auxiliary to financial services and insurance activities"
l,Real estate activities (L),L,g-t,5,Division 68: Real estate activities
m,"Professional, scientific and technical activities (M)",M,g-t,6,"Division 69: Legal and accounting activities 
Division 70: Activities of head offices; management consultancy activities 
Division 71: Architectural and engineering activities; technical testing and analysis 
Division 72: Scientific research and development 
Division 73: Advertising and market research 
Division 74: Other professional, scientific and technical activities 
Division 75: Veterinary activities"
n,Administrative and support activities (N),N,g-t,7,"Division 77: Rental and leasing activities click here to open the components of this sicDivision 78: Employment activities click here to open the components of this sicDivision 79: Travel agency, tour operator and other reservation service and related activities click here to open the components of this sicDivision 80: Security and investigation activities click here to open the components of this sicDivision 81: Services to buildings and landscape activities click here to open the components of this sicDivision 82: Office administrative, office support and other business support activities"
o,Public administration and defence (O),O,g-t,8,Division 84: Public administration and defence; compulsory social security
p,Education (P),P,g-t,9,Division 85: Education
q,Human health and social work (Q),Q,g-t,10,"Division 86: Human health activities 
Division 87: Residential care activities 
Division 88: Social work activities without accommodation"
r,"Arts, entertainmant and recreation (R)",R,g-t,11,"Division 90: Creative, arts and entertainment activities 
Division 91: Libraries, archives, museums and other cultural activities 
Division 92: Gambling and betting activities 
Division 93: Sports activities and amusement and recreation activities"
s,Other service activities (S),S,g-t,12,"Division 94: Activities of membership organisations 
Division 95: Repair of computers and personal and household goods 
Division 96: Other personal service activities"
